,클러스터,PER_기준,투자기간,결과
1002,1,1.7000000000000002,850,0.3283698492197732
1003,1,1.8,850,0.3283698492197732
1004,1,1.9000000000000001,850,0.3283698492197732
1005,1,0.5,880,0.14232258262861208
1006,1,0.6000000000000001,880,0.14232258262861208
1007,1,0.7000000000000001,880,0.14232258262861208
1008,1,0.8,880,0.14232258262861208
1009,1,0.9,880,0.14232258262861208
1010,1,1.0,880,0.14232258262861208
1011,1,1.1,880,0.13877694967729537
1012,1,1.2000000000000002,880,0.13877694967729537
1013,1,1.3,880,0.13877694967729537
1014,1,1.4000000000000001,880,0.13877694967729537
1015,1,1.5,880,0.13877694967729537
1016,1,1.6,880,0.13877694967729537
1017,1,1.7000000000000002,880,0.13877694967729537
1018,1,1.8,880,0.13877694967729537
1019,1,1.9000000000000001,880,0.13877694967729537
1020,1,0.5,910,0.2154255319148936
1021,1,0.6000000000000001,910,0.2154255319148936
1022,1,0.7000000000000001,910,0.2154255319148936
1023,1,0.8,910,0.2154255319148936
1024,1,0.9,910,0.2154255319148936
1025,1,1.0,910,0.2154255319148936
1026,1,1.1,910,0.20845213749164274
1027,1,1.2000000000000002,910,0.20845213749164274
1028,1,1.3,910,0.20845213749164274
1029,1,1.4000000000000001,910,0.20845213749164274
1030,1,1.5,910,0.20845213749164274
1031,1,1.6,910,0.20845213749164274
1032,1,1.7000000000000002,910,0.20845213749164274
1033,1,1.8,910,0.20845213749164274
1034,1,1.9000000000000001,910,0.20845213749164274
1035,1,0.5,940,0.14537444933920704
1036,1,0.6000000000000001,940,0.14537444933920704
1037,1,0.7000000000000001,940,0.14537444933920704
1038,1,0.8,940,0.14537444933920704
1039,1,0.9,940,0.14537444933920704
1040,1,1.0,940,0.14537444933920704
1041,1,1.1,940,0.14386160189380282
1042,1,1.2000000000000002,940,0.14386160189380282
1043,1,1.3,940,0.14386160189380282
1044,1,1.4000000000000001,940,0.14386160189380282
1045,1,1.5,940,0.14386160189380282
1046,1,1.6,940,0.14386160189380282
1047,1,1.7000000000000002,940,0.14386160189380282
1048,1,1.8,940,0.14386160189380282
1049,1,1.9000000000000001,940,0.14386160189380282
1050,1,0.5,970,0.1404494382022472
1051,1,0.6000000000000001,970,0.1404494382022472
1052,1,0.7000000000000001,970,0.1404494382022472
1053,1,0.8,970,0.1404494382022472
1054,1,0.9,970,0.1404494382022472
1055,1,1.0,970,0.1404494382022472
1056,1,1.1,970,0.1385066574271148
1057,1,1.2000000000000002,970,0.1385066574271148
1058,1,1.3,970,0.1385066574271148
1059,1,1.4000000000000001,970,0.1385066574271148
1060,1,1.5,970,0.1385066574271148
1061,1,1.6,970,0.1385066574271148
1062,1,1.7000000000000002,970,0.1385066574271148
1063,1,1.8,970,0.1385066574271148
1064,1,1.9000000000000001,970,0.1385066574271148
1065,1,0.5,1000,0.0941358024691358
1066,1,0.6000000000000001,1000,0.0941358024691358
1067,1,0.7000000000000001,1000,0.0941358024691358
1068,1,0.8,1000,0.0941358024691358
1069,1,0.9,1000,0.0941358024691358
1070,1,1.0,1000,0.0941358024691358
1071,1,1.1,1000,0.09231677001284844
1072,1,1.2000000000000002,1000,0.09231677001284844
1073,1,1.3,1000,0.09231677001284844
1074,1,1.4000000000000001,1000,0.09231677001284844
1075,1,1.5,1000,0.09231677001284844
1076,1,1.6,1000,0.09231677001284844
1077,1,1.7000000000000002,1000,0.09231677001284844
1078,1,1.8,1000,0.09231677001284844
1079,1,1.9000000000000001,1000,0.09231677001284844
1080,1,0.5,1030,-0.2556179775280899
1081,1,0.6000000000000001,1030,-0.2556179775280899
1082,1,0.7000000000000001,1030,-0.2556179775280899
1083,1,0.8,1030,-0.2556179775280899
1084,1,0.9,1030,-0.2556179775280899
1085,1,1.0,1030,-0.2556179775280899
1086,1,1.1,1030,-0.2548520794029751
1087,1,1.2000000000000002,1030,-0.2548520794029751
1088,1,1.3,1030,-0.2548520794029751
1089,1,1.4000000000000001,1030,-0.2548520794029751
1090,1,1.5,1030,-0.2548520794029751
1091,1,1.6,1030,-0.2548520794029751
