,클러스터,PBR_기준,투자기간,결과
642,1,17,130,0.19698961709711732
643,1,18,130,0.19698961709711732
644,1,19,130,0.19698961709711732
645,1,5,160,0.1967930029154519
646,1,6,160,0.1967930029154519
647,1,7,160,0.1967930029154519
648,1,8,160,0.1967930029154519
649,1,9,160,0.1967930029154519
650,1,10,160,0.1967930029154519
651,1,11,160,0.2206432014740331
652,1,12,160,0.2206432014740331
653,1,13,160,0.2206432014740331
654,1,14,160,0.2206432014740331
655,1,15,160,0.2206432014740331
656,1,16,160,0.2206432014740331
657,1,17,160,0.2206432014740331
658,1,18,160,0.2206432014740331
659,1,19,160,0.2206432014740331
660,1,5,190,0.2369600987248046
661,1,6,190,0.2369600987248046
662,1,7,190,0.2369600987248046
663,1,8,190,0.2369600987248046
664,1,9,190,0.2369600987248046
665,1,10,190,0.2369600987248046
666,1,11,190,0.25556775524133124
667,1,12,190,0.25556775524133124
668,1,13,190,0.25556775524133124
669,1,14,190,0.25556775524133124
670,1,15,190,0.25556775524133124
671,1,16,190,0.25556775524133124
672,1,17,190,0.25556775524133124
673,1,18,190,0.25556775524133124
674,1,19,190,0.25556775524133124
675,1,5,220,0.14779874213836477
676,1,6,220,0.14779874213836477
677,1,7,220,0.14779874213836477
678,1,8,220,0.14779874213836477
679,1,9,220,0.14779874213836477
680,1,10,220,0.14779874213836477
681,1,11,220,0.17430762329468014
682,1,12,220,0.17430762329468014
683,1,13,220,0.17430762329468014
684,1,14,220,0.17430762329468014
685,1,15,220,0.17430762329468014
686,1,16,220,0.17430762329468014
687,1,17,220,0.17430762329468014
688,1,18,220,0.17430762329468014
689,1,19,220,0.17430762329468014
690,1,5,250,0.2190254906852961
691,1,6,250,0.2190254906852961
692,1,7,250,0.2190254906852961
693,1,8,250,0.2190254906852961
694,1,9,250,0.2190254906852961
695,1,10,250,0.2190254906852961
696,1,11,250,0.24200878267973858
697,1,12,250,0.24200878267973858
698,1,13,250,0.24200878267973858
699,1,14,250,0.24200878267973858
700,1,15,250,0.24200878267973858
701,1,16,250,0.24200878267973858
702,1,17,250,0.24200878267973858
